,0,1
0,-2.0,-2.0
1,-0.8615320831960752,-2.69402347235948
2,-0.2984768334461372,-2.8126342776649738
3,0.15737865166652654,-2.824045318333193
4,0.551847727455085,-2.7740699496773074
5,0.9027239440663444,-2.680501721844122
6,1.2189514164974602,-2.5522847498307932
7,1.5055476416426938,-2.394436530531583
8,1.7653937577775909,-2.209838202222035
9,2.0,-2.0
10,2.0,-2.0
11,2.209838202222035,-1.7653937577775909
12,2.394436530531583,-1.5055476416426938
13,2.5522847498307932,-1.2189514164974602
14,2.680501721844122,-0.9027239440663444
15,2.7740699496773074,-0.551847727455085
16,2.824045318333193,-0.15737865166652654
17,2.8126342776649738,0.2984768334461372
18,2.69402347235948,0.8615320831960752
19,2.0,2.0
